venue_name,venue_capacity
Brentford Community Stadium,17250.00
Old Trafford,74879.00
King Power Stadium,32312.00
Turf Moor,21944.00
Stamford Bridge,40341.00
Vicarage Road Stadium,21577.00
Goodison Park,39414.00
Carrow Road,27244.00
Tottenham Hotspur Stadium,62850.00
Anfield,53394.00
Villa Park,42682.00
Etihad Stadium,53400.00
Elland Road,37890.00
Selhurst Park,25486.00
The American Express Community Stadium,31876.00
Molineux Stadium,32050.00
St. Mary's Stadium,32384.00
Emirates Stadium,60704.00
London Stadium,60000.00
Craven Cottage,25700.00
St James' Park,52305.00
Vitality Stadium,11379.00
The City Ground,30445.00
Bramall Lane,32050.00
Gtech Community Stadium,17250.00
Kenilworth Road Stadium,12000.00
Portman Road Stadium,29673.00
St Mary's Stadium,32384.00
